	Current Ratio	Quick Ratio	Cash Ratio	Working Capital / Total Assets	Operating Cash Flow per Share	Free Cash Flow Per Share	CFO / Sales	Free Cash Flow (FCF) /Sales	CFO / Total Assets	FCF / Current Liabilities	Debt Ratio	Debt to Equity Ratio	Debt to Capital Ratio	Times Interest Earned Ratio	Equity Multiplier	Retained Earnings / Current Liabilities	Equity/Total Asset	Equity/Fixed Asset	Interest Expense / Debt	Receivables Turnover	Days' Sales Outstanding (DSO) Ratio	Payables Turnover Ratio	Days Payable Outstanding	Fixed Asset Turnover	Sales/Total Asset	Sales Growth	Asset Turnover Ratio	Net Profit Margin	Gross Profit Margin	Operating Margin Ratio	Return on Assets	Return on Equity	Earning Per Share	EBITDA/Total Asset	Equity Growth	Price to Book Ratio	Dividend Yield Ratio	Bankruptcy Status
43	124.3	124.3	117.4	0.6	18.4	5.9	0.5	0.1	0.1	5.0	0.0	0.0	0.0	-338.1754049676026	1.2	179.4	0.8	3.0	0.2892128279883382	5.2	15.5	23.6	15.5	0.2	0.2	-25.6	0.2	-1.3	27.5	2.4	-0.2	-0.3	-0.5	0.1	-2.9	1.0	2.5	0
44	0.0	0.0	0.0	-139332.7	0.0	0.0	-19.565993359158828	-32.69792949076665	-2694.0	0.0	56919.3	-0.4	77.5345696969697	-2.5	3.01039064576136	-1.3	-139332.7	1630.9962892933127	0.1	8.219110189027202	9834.716596343178	12.351197053406999	9834.716596343178	0.0	0.0	6444.342596291013	0.0	-7771.194224422443	-2438.221640735502	-6362.465107319758	-345871.0	-93.32353409392412	0.0	-12826.7	-14.7	21.632868757259	0.0	0
45	0.0	0.0	0.0	-169.5	-0.2	-0.2	-19.565993359158828	-32.69792949076665	-33.7	-0.2	117.0	-0.7	77.5345696969697	-1.4	3.01039064576136	-1.5	-169.5	1630.9962892933127	0.2	8.219110189027202	9834.716596343178	12.351197053406999	9834.716596343178	0.0	0.0	6444.342596291013	0.0	-7771.194224422443	-2438.221640735502	-6362.465107319758	-7325.8	-93.32353409392412	-0.3	-28.9	-40.6	21.632868757259	0.0	0
46	27.7	27.7	24.6	0.5	65.2	20.7	0.7	0.2	0.3	4.6	0.0	0.0	0.0	215.6	1.2	41.1	0.8	2.0	0.2892128279883382	6.1	23.9	15.3	23.9	0.4	0.4	16.8	0.4	30.1	59.8	49.2	13.1	16.0	28.3	0.3	4.6	1.7	3.2	0
47	0.1	0.1	0.0	-2.7	27.6	-16.0	0.7	-0.4	0.3	-0.1	2.8	-1.4	334.8	-0.1	3.01039064576136	-1.1	-2.0	-2.5	0.1	3.3	15.2	24.1	15.2	0.2	0.5	-50.5	0.2	-554.4	8.3	-6.9	-112.3	-93.32353409392412	-232.7	0.3	-384.6	21.632868757259	2.6825144175317193	0
48	12.8	12.8	11.6	0.9	-0.4	-0.4	-19.565993359158828	-32.69792949076665	-0.2	-2.0	0.0	0.0	0.0	-338.1754049676026	1.1	-78.4	0.9	1630.9962892933127	0.2892128279883382	0.0	1057.7	0.3	1057.7	0.0	0.0	6444.342596291013	0.0	-7771.194224422443	-2438.221640735502	-6362.465107319758	-38.2	-43.5	-1.3	-0.2	-29.7	0.7	0.0	0
49	0.8	0.8	0.1	0.0	6.7	-2.5	0.4	-0.2	0.1	-0.6	0.2	0.5	32.0	2.6	1.9	3.5	0.6	0.7	0.1	7.2	71.1	5.1	71.1	0.3	0.3	14.0	0.3	-5.4	20.0	15.4	-1.7	-3.3	-0.9	0.1	3.4	0.6	0.0	0
50	5.2	5.0	4.3	0.6	-0.1	-0.2	-0.1	-0.2	0.0	-0.4	0.0	0.0	0.0	-234.7	2.1	3.1	0.6	3.4	0.2892128279883382	5.6	65.1	5.6	65.1	0.4	0.4	-4.4	0.4	9.0	42.7	-10.8	3.6	7.7	0.1	0.0	30.6	0.9	0.0	0
51	0.002223160760208981	0.002223160760208981	0.0	-1.5755452316377014	0.09555367847958204	0.09110735695916412	0.4710989101172833	0.3599831063162384	0.09555367847958204	0.09110735695916412	1.4755452316377011	-2.2557057216334364	211.69454005745388	-2.72223160760209	3.059069181726658	-3.1311242506429258	-0.8799915531581193	-0.9777683923979102	0.102223160760209	3.155621253214628	104.37831743712015	3.4733220708774923	104.37831743712015	0.19777683923979106	0.19777683923979106	-41.55981416947863	0.19777683923979106	-213.23658419318906	-37.831419890108755	-107.03222234008743	-38.100042234209404	-96.12863977256643	-0.3066694822806269	-0.004446321520417962	-125.28871525936134	21.632868757259	0.0	1
52	47.1	47.1	47.0	1.0	0.0	0.0	-89.6	-89.6	0.0	-0.7	0.0	0.0	0.0	-338.1754049676026	1.0	11.8	1.0	9198953.0	0.2892128279883382	0.1	9834.716596343178	0.0	9834.716596343178	0.0	0.0	-78.3	0.0	23579.2	125.3	-28300.2	4.1	4.2	0.1	0.0	1.4	0.8	0.0	0
53	1.5	1.5	0.4	0.0	0.0	-0.1	-19.565993359158828	-32.69792949076665	0.0	-7.6	0.0	0.0	1.0	-16.3	1.1	-10.8	0.9	1.0	0.5	0.0	365000.0	0.0	365000.0	0.0	0.0	6444.342596291013	0.0	-7771.194224422443	-2438.221640735502	-6362.465107319758	-9.4	-10.3	0.0	-0.1	267.8	2.9	0.0	0
54	0.27409215773158296	0.27409215773158296	0.06295392113420853	-0.5518156845368339	0.5924931324762939	-3.8886176340262564	0.2147696056710427	-3.263198050510578	0.06295392113420853	-1.007506867523706	0.4888617634026256	2.5145254762946734	62.510863535649136	-1.970949047410654	3.625663712892048	-0.9815990252552892	0.34818431546316586	0.3852303943289573	0.06295392113420853	5.103875498450038	303.8577660610867	1.2593225520605402	303.8577660610867	0.2	0.16295392113420853	19.17259680990149	0.2	-183.90030527252011	18.380378378373443	-16.487946389040893	-37.729783340718456	-134.70524855999264	-2.510894107221005	0.06295392113420853	-0.6062556490699826	0.6222764731947488	0.0	1
55	0.1	0.1	0.0	-0.2	0.0	0.0	-3.0	-3.3	-0.2	-0.8	0.2	0.2	18.2	-1624.7	2.6	-22.2	0.8	46.4	0.0	0.3	7073.6	0.1	7073.6	0.1	0.1	652.0	0.1	-2106.4	91.4	-528.0	-161.0	-423.8	-0.2	-0.3	8819225.18431286	20.2	0.0	0
56	0.0	0.0	0.0	-2.6	0.0	0.0	-19.565993359158828	-32.69792949076665	0.0	0.0	2.1	-1.3	443.9	-0.7	3.01039064576136	-2.4	-1.6	-1.6	0.2	8.219110189027202	43975.9	0.0	43975.9	0.0	0.0	6444.342596291013	0.0	-7771.194224422443	-2438.221640735502	-6362.465107319758	-50.6	-93.32353409392412	-0.1	-0.3	-8.8	21.632868757259	2.6825144175317193	0
57	2.3	2.3	2.0	0.1	1.3	0.6	0.3	0.2	0.1	1.2	0.2	1.3	55.9	6.8	3.01039064576136	-70.24548736462093	0.5	0.7	0.0	47.3	11.8	30.8	11.8	0.3	0.3	24.1	0.3	-7771.194224422443	32.2	25.4	-6936.613843195899	-93.32353409392412	0.3	0.1	43.0	21.632868757259	2.6825144175317193	0
58	0.1	0.0	0.0	-0.3	-849521.9	-2009297.7	-0.5	-1.2	0.0	-0.3	0.2	0.3	22.2	-2.6	1.4	-3.1	0.7	0.7	0.2	7.7	295.1	1.2	295.1	0.1	0.1	-42.5	0.1	-170.9	-0.2	-120.0	-13.0	-18.2	-2929687.5	-0.1	-2.8	0.3	0.0	0
59	6.3	6.3	5.5	0.7	0.0	0.0	-19.565993359158828	-32.69792949076665	-2.1	-15.4	0.0	0.0	0.0	-338.1754049676026	1.3	-546.2	0.9	40.1	0.2892128279883382	0.0	9834.716596343178	12.351197053406999	9834.716596343178	0.0	0.0	6444.342596291013	0.0	-7771.194224422443	-2438.221640735502	-6362.465107319758	-139.7	-185.5	0.0	-2.1	-29.3	4.4	0.0	0
60	4.6	4.6	4.2	0.2	0.0	0.0	-19.565993359158828	-32.69792949076665	0.0	-0.3	0.0	0.0	0.0	-338.1754049676026	1.1	-2.2	0.8	1348.9	0.2892128279883382	0.0	35436.9	0.0	35436.9	0.0	0.0	6444.342596291013	0.0	-7771.194224422443	-2438.221640735502	-6362.465107319758	-8.3	-9.5	-0.2	-0.1	70.8	0.7	0.0	0
61	1.9	1.9	1.1	0.0	4.3	2.1	0.5	0.3	0.1	1.4	0.4	3.0	74.9	5.0	5.9	0.0	0.5	0.8	0.0	8.2	39.0	9.3	39.0	0.2	0.2	11.0	0.2	19.3	40.4	35.3	4.4	26.3	1.5	0.1	-29.7	8.8	4.0	0
62	0.0	0.0	0.0	-41.2	0.0	0.0	-0.4	-0.5	-0.2	0.0	29.7	-0.7	77.5345696969697	-0.1	3.01039064576136	-3.1	-40.6	-49.1	0.1	4.5	2547.1	0.1	2547.1	0.4	0.5	-24.2	0.4	-1027.9	51.3	-90.7	-395.7	-93.32353409392412	-0.1	-0.4	-13.3	21.632868757259	0.0	0
63	1.1	1.1	0.5	0.0	8.1	-2.8	0.6	-0.2	0.1	-0.4	0.2	0.5	34.4	5.5	2.1	2.8	0.5	0.6	0.0	4.9	182.4	2.0	182.4	0.3	0.2	19.1	0.3	18.9	41.1	32.1	4.9	10.4	2.5	0.2	11.2	2.7	0.8	0
